save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,outcome,alg
../regressors\linear\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.9)}",-8.606655905157961,8.584742095737203,0.2821521124042956,8.883741116721316,0.25259126317185343,profit_11,linear
../regressors\rf\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 10}",-6.577898989946173,5.329534759991161,0.5543494228874677,7.198242650520144,0.39439596718084746,profit_11,rf
../regressors\svm\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 1},-7.196071164333328,7.0859401060488505,0.4074804950421703,7.253392626874277,0.3897560780146312,profit_11,svm
../regressors\cart\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 0.02}",-6.751866815858362,4.949550688979379,0.5861233258951387,6.973569469809808,0.41329821748143347,profit_11,cart
../regressors\gbm\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}",-6.254475451246213,2.666950154352067,0.7769921899488039,6.756540882504155,0.4315573112756458,profit_11,gbm
../regressors\mlp\37map_1001scenarios_competition_profit_11_model.csv,42,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (10,)}",-5.86562447011962,5.126321733683518,0.5713419009421442,6.6210352454436405,0.442957699433948,profit_11,mlp
../regressors\linear\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.9)}",-15.954789024315772,15.760971225902635,0.3647316006132455,15.965714962583828,0.3856561027701436,profit_14,linear
../regressors\rf\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 25}",-12.855200517778337,10.416685664919054,0.5801406439729669,12.844672799346714,0.5057505182394955,profit_14,rf
../regressors\svm\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 10},-13.123692806520998,12.899755799326183,0.48005696465900194,11.88004635539733,0.5428683278919695,profit_14,svm
../regressors\cart\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 7, 'max_features': 0.6, 'min_samples_leaf': 0.02}",-13.335557105511523,9.122407872956504,0.6323083542921503,13.016286404927891,0.4991470074341551,profit_14,cart
../regressors\gbm\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 20}",-9.999578205644518,4.821476670681837,0.8056635137921703,8.808796052825139,0.6610468050019744,profit_14,gbm
../regressors\mlp\37map_1001scenarios_competition_profit_14_model.csv,42,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (50,)}",-8.782095556300945,6.48662707176939,0.7385472545924445,8.552932110863903,0.6708921800217236,profit_14,mlp
../regressors\linear\37map_1001scenarios_competition_profit_15_model.csv,42,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.9)}",-8.436436670889826,8.320567912016756,0.3100322325734365,8.573982989270878,0.33976620813887703,profit_15,linear
../regressors\rf\37map_1001scenarios_competition_profit_15_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 25}",-5.997955463506528,5.002950596217071,0.5851395373587408,5.578240226121895,0.5704513642010502,profit_15,rf
../regressors\svm\37map_1001scenarios_competition_profit_15_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 10},-6.426230733269007,6.30833292651274,0.47689311216324215,5.966439291744634,0.5405583563173431,profit_15,svm
