controlled_stations,type,profit,rc_11,rc_14,rc_15,rc_26,rc_37
11,base_case,0.0,0.6,0.6,0.5,0.6,0.5
11,linear_predicted,4.362593200744005,0.2,0.6,,0.6,
11,linear_real,6.497949433416599,0.2,0.6,,0.6,
11,rf_predicted,5.956637811485333,0.3505000025033951,0.6,0.5,0.6,0.5
11,rf_real,5.19851878287,0.3505000025033951,0.6,0.5,0.6,0.5
11,svm_predicted,6.272016869279056,0.2,0.6,0.5,0.6,0.5
11,svm_real,6.490619840099297,0.2,0.6,0.5,0.6,0.5
11,cart_predicted,8.610151625078602,0.42900000512599945,0.6,0.5,0.6,0.5
11,cart_real,6.425009017801167,0.42900000512599945,0.6,0.5,0.6,0.5
11,gbm_predicted,8.075072337801213,0.2600010053574806,0.6,0.5,0.6,0.5
11,gbm_real,8.707212054083902,0.2600010053574806,0.6,0.5,0.6,0.5
11,mlp_predicted,7.353036033666309,0.3601169304945935,0.6,0.5,0.6,0.5
11,mlp_real,6.845027781966806,0.3601169304945935,0.6,0.5,0.6,0.5
14,base_case,6.530191534995553,0.6,0.6,0.5,0.6,0.5
14,linear_predicted,9.834729940128422,0.6,0.2,0.5,0.6,0.5
14,linear_real,8.128775330244599,0.6,0.2,0.5,0.6,0.5
14,rf_predicted,11.39147074996074,0.6,0.39750099343655165,0.5,0.6,0.5
14,rf_real,19.67702669161282,0.6,0.39750099343655165,0.5,0.6,0.5
14,svm_predicted,12.322373826155477,0.6,0.2,0.5,0.6,0.5
14,svm_real,8.128775330244599,0.6,0.2,0.5,0.6,0.5
14,cart_predicted,14.15853116995856,0.6,0.43950000405311584,0.5,0.6,0.5
14,cart_real,13.644942703349464,0.6,0.43950000405311584,0.5,0.6,0.5
14,gbm_predicted,14.335617704803692,0.6,0.4565009937941795,0.5,0.6,0.5
14,gbm_real,14.20052682358982,0.6,0.4565009937941795,0.5,0.6,0.5
14,mlp_predicted,16.326376470237093,0.6,0.3748355338979832,0.5,0.6,0.5
14,mlp_real,18.494569580103406,0.6,0.3748355338979832,0.5,0.6,0.5
15,base_case,13.727748669593861,0.6,0.6,0.5,0.6,0.5
15,linear_predicted,5.437242807897766,0.6,0.6,0.2,0.6,
15,linear_real,7.785351181297673,0.6,0.6,0.2,0.6,
15,rf_predicted,7.4000868749959405,0.6,0.6,0.33650000393390656,0.6,0.5
15,rf_real,9.075893291911012,0.6,0.6,0.33650000393390656,0.6,0.5
15,svm_predicted,7.896850139752343,0.6,0.6,0.2,0.6,0.5
15,svm_real,7.785351181297673,0.6,0.6,0.2,0.6,0.5
15,cart_predicted,10.062902606264286,0.6,0.6,0.5604999959468842,0.6,0.5
15,cart_real,3.311960853901486,0.6,0.6,0.5604999959468842,0.6,0.5
15,gbm_predicted,11.367903686926681,0.6,0.6,0.5020000040531158,0.6,0.5
15,gbm_real,8.72535684656032,0.6,0.6,0.5020000040531158,0.6,0.5
15,mlp_predicted,9.918395463393262,0.6,0.6,0.39641151163728505,0.6,0.5
15,mlp_real,10.780478466227262,0.6,0.6,0.39641151163728505,0.6,0.5
26,base_case,0.0,0.6,0.6,0.5,0.6,0.5
26,linear_predicted,9.766379020195261,0.6,0.6,0.5,0.2,0.5
26,linear_real,9.5245368091263,0.6,0.6,0.5,0.2,0.5
26,rf_predicted,12.390202622282251,0.6,0.6,0.5,0.4324999898672104,0.5
26,rf_real,21.500409434808116,0.6,0.6,0.5,0.4324999898672104,0.5
26,svm_predicted,12.895875114100878,0.6,0.6,0.5,0.2,0.5
26,svm_real,9.51747728949446,0.6,0.6,0.5,0.2,0.5
26,cart_predicted,19.519967270040663,0.6,0.6,0.5,0.4895000010728836,0.5
26,cart_real,10.287444408578006,0.6,0.6,0.5,0.4895000010728836,0.5
26,gbm_predicted,17.72797167000102,0.6,0.6,0.5,0.442500995224691,0.5
26,gbm_real,22.016492338531354,0.6,0.6,0.5,0.442500995224691,0.5
26,mlp_predicted,17.901623419609777,0.6,0.6,0.5,0.41114031857199157,0.5
26,mlp_real,22.184210346220564,0.6,0.6,0.5,0.41114031857199157,0.5
37,base_case,9.948502531171913,0.6,0.6,0.5,0.6,0.5
37,linear_predicted,7.764130541529628,,0.6,,0.6,0.2
37,linear_real,7.96534375638842,,0.6,,0.6,0.2
37,rf_predicted,9.130649031839113,0.6,0.6,0.5,0.6,0.4410009996354347
37,rf_real,18.376586940639058,0.6,0.6,0.5,0.6,0.4410009996354347
37,svm_predicted,10.561470639689754,0.6,0.6,0.5,0.6,0.2
37,svm_real,7.96534375638842,0.6,0.6,0.5,0.6,0.2
37,cart_predicted,10.78968574233338,0.6,0.6,0.5,0.6,0.4270000010728836
37,cart_real,17.768627301318624,0.6,0.6,0.5,0.6,0.4270000010728836
37,gbm_predicted,10.716813735143432,0.6,0.6,0.5,0.6,0.44050100607273635
37,gbm_real,12.248306008767392,0.6,0.6,0.5,0.6,0.44050100607273635
37,mlp_predicted,13.216658840669382,0.6,0.6,0.5,0.6,0.46014156141328855
37,mlp_real,19.20345920944271,0.6,0.6,0.5,0.6,0.46014156141328855
11|14,base_case,6.530191534995553,0.6,0.6,0.5,0.6,0.5
11|14,linear_predicted,12.158522373896716,0.2,0.2,0.5,0.6,0.5
11|14,linear_real,9.989385224028819,0.2,0.2,0.5,0.6,0.5
11|14,rf_predicted,15.198128739973296,0.31050099593994673,0.3645010010659462,0.5,0.6,0.5
11|14,rf_real,18.15750759246628,0.31050099593994673,0.3645010010659462,0.5,0.6,0.5
11|14,svm_predicted,13.770489739889497,0.2,0.2,0.5,0.6,0.5
11|14,svm_real,9.989385224028819,0.2,0.2,0.5,0.6,0.5
11|14,cart_predicted,19.979355283268113,0.3685009942710167,0.32700100702641066,0.5,0.6,0.5
11|14,cart_real,17.21807894633165,0.3685009942710167,0.32700100702641066,0.5,0.6,0.5
11|14,gbm_predicted,19.862934520928704,0.3630010054766899,0.4565009937941795,0.5,0.6,0.5
11|14,gbm_real,14.025842298030579,0.3630010054766899,0.4565009937941795,0.5,0.6,0.5
11|14,mlp_predicted,18.658479401827254,0.8,0.3818313029459418,0.5,0.6,0.5
11|14,mlp_real,18.969325104474713,0.8,0.3818313029459418,0.5,0.6,0.5
11|15,base_case,13.727748669593861,0.6,0.6,0.5,0.6,0.5
11|15,linear_predicted,9.600670318205495,0.2,0.6,0.2,0.6,
11|15,linear_real,8.952834635804502,0.2,0.6,0.2,0.6,
11|15,rf_predicted,12.128658721320846,0.4045010076224571,0.6,0.47200098795292433,0.6,0.5
11|15,rf_real,20.34753529948854,0.4045010076224571,0.6,0.47200098795292433,0.6,0.5
11|15,svm_predicted,12.214059986351543,0.2,0.6,0.2,0.6,0.5
11|15,svm_real,8.952834635804502,0.2,0.6,0.2,0.6,0.5
11|15,cart_predicted,16.930247499100894,0.5075010226428276,0.6,0.5605009959399467,0.6,0.5
11|15,cart_real,10.963482071031919,0.5075010226428276,0.6,0.5605009959399467,0.6,0.5
11|15,gbm_predicted,15.881910846845994,0.356500999754644,0.6,0.4385000020265579,0.6,0.5
11|15,gbm_real,17.820397905635602,0.356500999754644,0.6,0.4385000020265579,0.6,0.5
11|15,mlp_predicted,13.949705071806287,0.37459770110802126,0.6,0.26579411527184293,0.6,0.5
11|15,mlp_real,15.104377804773453,0.37459770110802126,0.6,0.26579411527184293,0.6,0.5
11|26,base_case,0.0,0.6,0.6,0.5,0.6,0.5
11|26,linear_predicted,13.549272929366492,0.2,0.6,0.5,0.2,0.5
11|26,linear_real,12.230689031896087,0.2,0.6,0.5,0.2,0.5
11|26,rf_predicted,17.602827647790818,0.3505000025033951,0.6,0.5,0.4324999898672104,0.5
11|26,rf_real,19.579916078649735,0.3505000025033951,0.6,0.5,0.4324999898672104,0.5
11|26,svm_predicted,16.104051991119075,0.2,0.6,0.5,0.2,0.5
11|26,svm_real,12.230689031896087,0.2,0.6,0.5,0.2,0.5
11|26,cart_predicted,26.38731216287727,0.4330009983241325,0.6,0.5,0.39200100464222487,0.5
11|26,cart_real,19.41053615250584,0.4330009983241325,0.6,0.5,0.39200100464222487,0.5
11|26,gbm_predicted,23.000414922846666,0.2755009995162254,0.6,0.5,0.442500995224691,0.5
11|26,gbm_real,18.75269388189369,0.2755009995162254,0.6,0.5,0.442500995224691,0.5
11|26,mlp_predicted,20.405254101879663,0.3472724781455038,0.6,0.5,0.4111365740118157,0.5
11|26,mlp_real,23.41529371817311,0.3472724781455038,0.6,0.5,0.4111365740118157,0.5
11|37,base_case,9.948502531171913,0.6,0.6,0.5,0.6,0.5
11|37,linear_predicted,12.126723742273633,0.2,0.6,,0.6,0.2
11|37,linear_real,10.75631996270143,0.2,0.6,,0.6,0.2
11|37,rf_predicted,14.661200931239728,0.271000012755394,0.6,0.5,0.6,0.4410009996354347
11|37,rf_real,15.11140706467799,0.271000012755394,0.6,0.5,0.6,0.4410009996354347
11|37,svm_predicted,15.254573556426909,0.2,0.6,0.5,0.6,0.2
11|37,svm_real,10.75631996270143,0.2,0.6,0.5,0.6,0.2
11|37,cart_predicted,18.19416955340519,0.4114999920129776,0.6,0.5,0.6,0.6014999747276306
11|37,cart_real,19.21313252140513,0.4114999920129776,0.6,0.5,0.6,0.6014999747276306
11|37,gbm_predicted,17.86170934658676,0.36650100511906203,0.6,0.5,0.6,0.44050100607273635
11|37,gbm_real,17.69682571904537,0.36650100511906203,0.6,0.5,0.6,0.44050100607273635
11|37,mlp_predicted,18.68573341671538,0.3469538025381768,0.6,0.5,0.6,0.4665143286266772
11|37,mlp_real,23.425292376779076,0.3469538025381768,0.6,0.5,0.6,0.4665143286266772
14|15,base_case,20.257940204589413,0.6,0.6,0.5,0.6,0.5
14|15,linear_predicted,12.767181510941473,0.6,0.2,0.2,0.6,0.5
14|15,linear_real,9.751229971938553,0.6,0.2,0.2,0.6,0.5
14|15,rf_predicted,16.479106878178108,0.6,0.45799998939037323,0.47200098795292433,0.6,0.5
14|15,rf_real,22.015332114293678,0.6,0.45799998939037323,0.47200098795292433,0.6,0.5
14|15,svm_predicted,14.807154559009804,0.6,0.2,0.2,0.6,0.5
14|15,svm_real,9.751229971938553,0.6,0.2,0.2,0.6,0.5
14|15,cart_predicted,21.53537541753053,0.6,0.44150100809929427,0.5604999959468842,0.6,0.5
14|15,cart_real,23.536843121494563,0.6,0.44150100809929427,0.5604999959468842,0.6,0.5
14|15,gbm_predicted,24.713672749819494,0.6,0.4580009893834358,0.4995010064303642,0.6,0.5
14|15,gbm_real,22.485351553954384,0.6,0.4580009893834358,0.4995010064303642,0.6,0.5
14|15,mlp_predicted,20.1115828472901,0.6,0.4080636704536281,0.34793641504431305,0.6,0.5
14|15,mlp_real,17.687397172147257,0.6,0.4080636704536281,0.34793641504431305,0.6,0.5
14|26,base_case,6.530191534995553,0.6,0.6,0.5,0.6,0.5
14|26,linear_predicted,15.258492276523274,0.6,0.2,0.5,0.2,0.5
14|26,linear_real,12.48291617744239,0.6,0.2,0.5,0.2,0.5
14|26,rf_predicted,18.317117476346557,0.6,0.7995010183512936,0.5,0.466499999165535,0.5
14|26,rf_real,26.403369265761583,0.6,0.7995010183512936,0.5,0.466499999165535,0.5
14|26,svm_predicted,17.067934294517684,0.6,0.2,0.5,0.2,0.5
14|26,svm_real,12.48291617744239,0.6,0.2,0.5,0.2,0.5
14|26,cart_predicted,33.678498439999224,0.6,0.38450099689362105,0.5,0.413500996059156,0.5
14|26,cart_real,18.99881682184944,0.6,0.38450099689362105,0.5,0.413500996059156,0.5
14|26,gbm_predicted,25.452421790110346,0.6,0.5474999845027924,0.5,0.4594999998807907,0.5
14|26,gbm_real,19.412031021962306,0.6,0.5474999845027924,0.5,0.4594999998807907,0.5
