controlled_stations,type,profit,rc_11,rc_14,rc_15,rc_26,rc_37
11|14|15|26,base_case,20.257940204589413,0.6,0.6,0.5,0.6,0.5
11|14|15|26,max_prices,15.36375584653348,0.8,0.8,0.8,0.8,0.5
11|14|15|26,sol_tr_predicted,35.801836915800145,0.6610887575017557,0.7954231527435388,0.6609367166060083,0.4135523114132109,0.5
11|14|15|26,sol_tr_real,26.268319385290795,0.6610887575017557,0.7954231527435388,0.6609367166060083,0.4135523114132109,0.5
11|14|15|26,sol_predicted,35.88471462466555,0.6639804309286186,0.8,0.6618021526719549,0.4137220710201503,0.5
11|14|15|26,sol_real,26.298931907446796,0.6639804309286186,0.8,0.6618021526719549,0.4137220710201503,0.5
11|14|15|37,base_case,30.20644273576133,0.6,0.6,0.5,0.6,0.5
11|14|15|37,max_prices,9.339061090902415,0.8,0.8,0.8,0.6,0.8
11|14|15|37,sol_tr_predicted,37.14967362254609,0.7937383530892884,0.49879723910571316,0.4828287601056666,0.6,0.6024230145211633
11|14|15|37,sol_tr_real,31.482585755987564,0.7937383530892884,0.49879723910571316,0.4828287601056666,0.6,0.6024230145211633
11|14|15|37,sol_predicted,37.31677689637457,0.8,0.49826840055314303,0.48183069748789664,0.6,0.6022118132725137
11|14|15|37,sol_real,29.57923837398418,0.8,0.49826840055314303,0.48183069748789664,0.6,0.6022118132725137
11|14|26|37,base_case,16.478694066167467,0.6,0.6,0.5,0.6,0.5
11|14|26|37,max_prices,19.103540928499786,0.8,0.8,0.5,0.8,0.8
11|14|26|37,sol_tr_predicted,38.48673765246353,0.7862430647366002,0.6384898540645296,0.5,0.6237235184323796,0.7798812700126238
11|14|26|37,sol_tr_real,17.822603444431046,0.7862430647366002,0.6384898540645296,0.5,0.6237235184323796,0.7798812700126238
11|14|26|37,sol_predicted,40.01827545763405,0.8,0.6512338337955758,0.5,0.6395106544941005,0.8
11|14|26|37,sol_real,21.07046849332898,0.8,0.6512338337955758,0.5,0.6395106544941005,0.8
11|15|26|37,base_case,23.676251200765776,0.6,0.6,0.5,0.6,0.5
11|15|26|37,max_prices,8.325047108582593,0.8,0.6,0.8,0.8,0.8
11|15|26|37,sol_tr_predicted,32.583805158504035,0.7916128429742568,0.6,0.44723621164561433,0.5552184294943363,0.6891952911593536
11|15|26|37,sol_tr_real,25.268140792744028,0.7916128429742568,0.6,0.44723621164561433,0.5552184294943363,0.6891952911593536
11|15|26|37,sol_predicted,32.66842073773049,0.8,0.6,0.4423059088141986,0.5522321976498271,0.6850755267550885
11|15|26|37,sol_real,28.256027180393612,0.8,0.6,0.4423059088141986,0.5522321976498271,0.6850755267550885
14|15|26|37,base_case,30.20644273576133,0.6,0.6,0.5,0.6,0.5
14|15|26|37,max_prices,49.14635629321364,0.6,0.8,0.8,0.8,0.8
14|15|26|37,sol_tr_predicted,45.214905120422486,0.6,0.6319134401805228,0.5758674405955542,0.6368417222524602,0.7997511812977732
14|15|26|37,sol_tr_real,38.42948022828445,0.6,0.6319134401805228,0.5758674405955542,0.6368417222524602,0.7997511812977732
14|15|26|37,sol_predicted,45.230659671329086,0.6,0.6321019024279143,0.5760948325571199,0.637030179362075,0.8
14|15|26|37,sol_real,36.64396995264426,0.6,0.6321019024279143,0.5760948325571199,0.637030179362075,0.8
11|14|15|26|37,base_case,30.20644273576133,0.6,0.6,0.5,0.6,0.5
11|14|15|26|37,max_prices,49.19936517592171,0.8,0.8,0.8,0.8,0.8
11|14|15|26|37,sol_tr_predicted,50.7202855478921,0.7808988404085229,0.6399917685837899,0.5375717818043936,0.6284512911164338,0.788106816589409
11|14|15|26|37,sol_tr_real,41.139381180705385,0.7808988404085229,0.6399917685837899,0.5375717818043936,0.6284512911164338,0.788106816589409
11|14|15|26|37,sol_predicted,51.97174398490025,0.8,0.6510472831988007,0.5017290632597977,0.639425804072863,0.8
11|14|15|26|37,sol_real,37.940781562970294,0.8,0.6510472831988007,0.5017290632597977,0.639425804072863,0.8
